state_name,district_name,market_center_name,Variety,group_name,Arrival,MIN,MAX,MODAL,date_arrival
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,500,31-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,450,550,500,28-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,550,500,27-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,26-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,24-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,23-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,22-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,450,20-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,600,500,17-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,16-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,13-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,350,550,500,12-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,10-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,500,08-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,350,600,400,07-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,560,450,05-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,01-Dec-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,30-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,29-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,500,27-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,24-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,19-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,18-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,12-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,500,500,11-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,05-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,625,550,04-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,350,550,500,01-Nov-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,31-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,600,500,29-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,28-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,550,500,27-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,26-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,25-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,350,625,500,20-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,600,500,17-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,15-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,500,14-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,250,500,400,13-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,700,500,12-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,11-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,450,10-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,08-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,06-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,625,550,04-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,350,600,500,03-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,350,550,500,01-Oct-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,500,30-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,350,500,400,29-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,500,400,28-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,27-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,26-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,500,24-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,22-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,21-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,200,700,500,20-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,16-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,15-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,14-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,12-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,525,400,10-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,07-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,400,400,06-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,03-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,02-Sep-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,500,500,31-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,30-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,29-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,27-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,25-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,24-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,23-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,600,500,20-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,19-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,18-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,16-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,12-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,500,11-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,10-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,08-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,06-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,500,450,04-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,450,400,02-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,350,01-Aug-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,30-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,450,29-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,28-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,400,400,27-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,550,450,26-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,450,25-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,600,400,23-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,400,400,22-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,21-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,400,400,20-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,400,400,18-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,400,400,16-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,13-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,12-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,400,300,11-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,2,200,500,300,09-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,06-Jul-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,30-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,200,500,300,27-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,200,400,300,21-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,20-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,17-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,15-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,14-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,11-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,700,550,10-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,200,500,300,09-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,06-Jun-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,31-May-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,09-May-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,650,500,07-May-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,400,550,500,05-May-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,04-May-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,03-May-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,700,500,02-May-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,400,28-Apr-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,600,500,27-Apr-18
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,350,26-Apr-18
